"","dominadores","dominadores.1","dominadores.2","dominadores.3","dominadores.4","dominadores.5","dominadores.6","dominadores.7","dominadores.8"
"1",28,8,0,0,0,6,2,0,0
"2",41,0,0,1,0,0,0,0,0
"3",20,0,8,0,0,1,19,0,0
"4",49,0,1,3,2,0,3,0,0
"5",5,3,11,6,0,8,0,0,0
"6",20,0,14,0,1,4,0,0,0
"7",3,8,5,0,1,0,0,0,0
"8",15,21,0,3,15,0,0,0,0
"9",26,21,6,5,1,0,0,0,0
"10",16,3,16,4,0,10,1,0,0
"11",14,2,10,0,11,11,2,0,0
"12",0,1,2,0,0,0,0,0,0
"13",6,13,2,0,2,18,0,0,0
"14",7,0,0,8,13,0,2,0,0
"15",25,4,0,4,0,5,0,0,0
"16",56,26,5,1,13,0,0,0,0
"17",32,0,0,5,6,0,0,0,0
"18",2,36,1,0,12,0,1,0,0
"19",47,0,2,0,21,6,17,0,0
"20",34,0,0,0,1,0,3,0,0
"21",6,2,11,1,2,13,1,0,0
"22",15,0,1,0,1,9,0,0,0
"23",31,1,12,7,3,1,0,0,0
"24",3,0,0,4,0,0,2,0,0
"25",34,9,1,11,0,9,4,0,0
"26",8,0,6,0,0,1,0,0,0
"27",71,6,0,0,3,0,0,0,0
"28",14,18,0,0,18,0,0,0,0
"29",9,2,0,12,1,12,0,0,0
"30",23,5,1,0,0,0,0,0,0
"31",41,23,6,7,0,20,0,0,0
"32",27,12,1,3,1,1,0,0,0
"33",46,11,0,0,5,2,0,0,0
"34",4,0,0,32,0,4,0,0,0
"35",1,12,2,1,26,4,0,0,0
"36",5,6,1,1,0,0,0,0,0
"37",9,6,17,0,0,0,0,0,0
"38",51,6,8,0,4,1,27,0,0
"39",21,0,3,5,0,13,1,0,0
"40",13,27,2,15,1,19,0,0,0
"41",1,7,0,0,13,0,0,0,0
"42",7,0,5,0,0,1,0,0,0
"43",23,0,1,0,1,0,0,0,0
"44",52,25,7,0,3,2,0,0,0
"45",4,8,15,0,0,0,0,0,0
"46",29,15,0,3,0,0,0,0,0
"47",56,2,0,0,1,0,2,0,0
"48",74,2,3,0,5,0,0,0,0
"49",54,3,0,11,19,0,0,0,0
"50",1,2,0,0,1,5,0,0,0
"51",34,3,4,1,0,0,0,0,0
"52",12,4,0,9,0,8,1,0,0
"53",13,0,3,3,0,0,0,0,0
"54",22,1,0,0,2,8,0,0,0
"55",1,0,0,0,1,15,0,0,0
"56",36,1,0,0,0,26,0,0,0
"57",19,1,18,0,0,0,3,0,0
"58",6,40,0,0,3,4,0,0,0
"59",43,0,3,0,0,0,0,0,0
"60",21,1,0,0,1,0,0,0,0
"61",24,0,0,6,0,14,1,0,0
"62",30,0,0,2,0,2,0,0,0
"63",10,0,6,0,0,1,0,0,0
"64",12,0,5,0,1,5,7,0,0
"65",40,2,0,0,0,14,0,0,0
"66",1,10,0,13,26,0,4,0,0
"67",23,1,0,15,22,0,0,0,0
"68",19,23,0,10,0,0,0,0,0
"69",84,0,0,8,0,0,0,0,0
"70",46,5,0,0,3,0,1,0,0
"71",0,0,4,0,47,5,0,0,0
"72",0,1,0,5,0,13,5,0,0
"73",0,0,0,0,0,3,0,0,0
"74",25,38,6,0,0,1,1,0,0
"75",56,9,9,5,1,2,0,0,0
"76",13,28,0,0,3,11,0,0,0
"77",47,16,4,2,12,1,0,0,0
"78",17,0,5,1,0,3,0,0,0
"79",34,1,0,6,0,0,0,0,0
"80",5,0,6,0,0,3,0,0,0
"81",33,0,0,4,37,2,0,0,0
