"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,3,6,6,5,4,3,3,2,2
"2",2,4,5,4,9,4,4,2,3,2
"3",2,2,6,10,6,6,4,2,2,2
"4",2,2,0,7,3,6,3,3,3,2
"5",1,5,6,7,5,5,4,3,2,2
"6",3,5,4,6,5,3,3,3,2,2
"7",2,3,3,6,7,5,2,2,2,2
"8",2,4,7,5,9,6,3,3,3,2
"9",3,2,5,9,5,4,4,3,2,2
"10",2,3,3,5,4,6,5,2,2,2
"11",3,2,5,8,4,4,5,3,3,2
"12",1,5,6,0,5,0,2,3,2,2
"13",2,5,6,5,5,5,2,2,2,2
"14",3,5,0,7,10,9,4,2,2,2
"15",1,3,6,8,7,4,3,2,2,2
"16",1,4,6,9,5,4,4,5,2,2
"17",3,1,5,6,8,4,4,2,2,2
"18",1,5,5,5,7,4,3,3,2,2
"19",2,2,5,8,6,4,3,3,2,2
"20",3,3,5,7,5,4,2,3,2,2
"21",2,3,5,4,3,5,2,2,2,2
"22",2,5,6,5,5,4,3,3,2,2
"23",2,4,7,6,5,4,4,2,2,2
"24",2,4,5,9,4,7,3,5,2,2
"25",3,6,0,6,5,8,3,3,3,2
"26",1,6,7,5,9,5,5,3,2,2
"27",1,4,7,7,6,7,3,2,2,2
"28",1,3,6,8,8,7,4,3,2,2
"29",3,4,7,9,6,4,2,4,2,2
"30",1,5,4,8,6,2,2,3,2,2
"31",2,12,6,0,5,7,2,3,2,2
"32",3,4,4,0,7,4,5,2,2,2
"33",1,4,9,7,6,7,4,4,3,2
"34",3,3,6,5,5,9,4,3,2,2
"35",0,6,5,6,7,5,3,4,2,2
"36",1,5,6,0,4,4,3,2,3,2
"37",2,2,3,5,5,0,2,2,2,2
"38",3,2,7,6,0,5,2,3,2,2
"39",2,5,6,8,7,3,3,3,3,2
"40",3,4,6,4,6,5,2,3,2,2
"41",2,4,6,7,6,3,9,3,2,2
"42",2,5,6,7,3,5,2,4,2,2
"43",2,4,6,7,4,9,3,3,2,2
"44",2,6,6,6,7,6,3,3,2,2
"45",3,8,0,5,6,0,3,3,3,2
"46",1,4,6,8,4,4,5,2,3,2
"47",2,5,7,6,6,6,2,2,3,2
"48",1,5,5,6,5,6,3,3,2,2
"49",1,2,6,7,4,4,2,2,2,2
"50",4,4,7,7,6,4,3,3,2,2
"51",1,5,6,7,6,3,3,2,2,2
"52",2,5,5,4,0,9,3,2,2,2
"53",3,3,5,6,0,6,5,2,2,2
"54",2,3,8,8,6,7,3,3,2,2
"55",1,4,6,7,8,5,3,2,2,2
"56",1,4,7,7,6,5,3,3,3,2
"57",3,3,8,9,6,4,4,4,2,2
"58",3,2,8,5,7,5,3,3,3,2
"59",2,6,5,9,5,3,3,4,2,2
"60",1,3,5,7,8,4,3,2,2,2
"61",2,5,7,6,4,5,2,2,2,2
"62",2,3,6,7,4,4,3,3,2,2
"63",3,8,6,5,6,5,3,3,2,2
"64",1,6,7,0,4,6,3,3,2,2
"65",2,2,4,9,6,7,4,3,2,2
"66",2,4,6,10,5,5,3,2,3,2
"67",4,2,5,6,4,6,5,2,3,2
"68",1,3,5,7,6,3,5,3,2,2
"69",2,2,4,5,7,8,2,2,2,2
"70",3,4,7,6,3,5,3,2,2,2
"71",3,3,8,6,5,10,2,2,2,2
"72",4,5,7,9,5,3,3,3,2,2
"73",2,5,6,4,6,5,5,2,2,2
"74",2,5,6,6,6,2,4,4,3,2
"75",2,6,6,7,6,4,3,2,2,2
"76",1,0,4,4,3,4,4,3,2,2
"77",2,4,5,7,8,8,3,2,2,2
"78",2,2,5,8,7,5,4,3,2,2
"79",2,9,4,9,8,5,3,2,2,2
"80",3,3,4,6,5,6,0,4,2,2
"81",1,2,7,5,7,6,2,4,2,2
"82",1,4,8,6,4,5,4,2,2,2
"83",2,2,6,5,5,3,5,3,2,2
"84",5,4,4,5,4,5,2,3,2,2
"85",1,3,6,5,4,5,6,2,2,2
"86",1,3,3,6,6,5,2,3,2,2
"87",2,5,7,10,6,4,3,3,3,2
"88",1,4,4,6,7,4,2,2,2,2
"89",2,6,5,6,5,5,4,2,3,2
"90",2,5,3,0,7,6,3,3,2,2
"91",4,4,8,6,5,5,3,2,2,2
"92",1,4,5,4,5,4,3,2,2,2
"93",3,5,4,4,7,4,3,3,2,2
"94",0,7,6,7,5,6,2,3,2,2
"95",1,1,8,8,8,3,3,4,2,2
"96",1,2,0,7,0,5,4,2,3,2
"97",2,6,4,8,4,3,3,2,2,2
"98",4,7,5,5,8,3,4,2,3,2
"99",2,4,6,5,8,4,0,3,3,2
"100",1,3,8,5,7,4,2,2,2,2
