"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,4,4,5,4,4,5,2,2,2
"2",2,4,7,8,4,3,4,3,2,2
"3",2,4,5,9,5,3,5,3,2,2
"4",1,4,9,7,6,5,3,3,3,2
"5",2,2,8,8,4,7,5,3,2,2
"6",0,10,6,8,5,3,3,2,2,2
"7",4,3,8,5,0,5,4,2,2,2
"8",4,3,7,10,8,5,3,3,4,2
"9",3,3,2,3,8,6,4,2,2,2
"10",3,3,5,5,7,7,3,3,2,2
"11",2,4,5,6,6,5,3,3,2,2
"12",1,5,0,6,4,3,3,2,2,2
"13",2,3,3,5,6,4,3,2,2,2
"14",4,4,6,5,6,3,4,3,2,2
"15",2,7,8,7,4,4,3,2,2,2
"16",2,5,6,5,5,3,2,2,2,2
"17",1,2,6,5,6,3,4,3,2,2
"18",4,4,10,6,6,4,3,2,2,2
"19",0,5,5,6,7,6,4,5,2,2
"20",2,5,4,6,4,4,3,2,3,2
"21",1,5,7,8,5,5,3,3,2,2
"22",2,3,6,6,5,5,4,2,2,2
"23",2,3,6,7,5,4,4,2,2,2
"24",4,4,6,3,5,4,3,2,2,2
"25",1,3,5,5,6,4,4,3,3,2
"26",1,3,6,8,4,6,2,3,2,2
"27",2,2,8,4,10,3,3,3,2,2
"28",1,6,8,7,5,4,4,2,2,2
"29",1,2,5,7,8,8,3,2,2,2
"30",2,3,6,8,5,5,6,2,2,2
"31",2,6,6,5,5,6,4,3,2,2
"32",2,4,6,6,8,3,3,3,2,2
"33",1,6,6,8,7,7,3,2,3,2
"34",2,8,9,0,7,7,3,3,2,2
"35",2,4,4,7,8,3,2,2,2,2
"36",2,4,5,5,5,6,5,2,2,2
"37",0,5,3,5,5,4,5,2,2,2
"38",3,7,4,4,0,6,2,2,2,2
"39",3,4,4,7,8,5,3,3,3,2
"40",4,6,7,8,4,4,3,3,3,2
"41",1,7,7,6,4,6,3,3,2,2
"42",2,4,6,7,6,4,4,4,2,2
"43",2,3,6,4,0,6,3,2,2,2
"44",2,5,5,9,6,4,5,2,2,2
"45",2,3,7,6,6,5,4,4,2,2
"46",4,4,6,6,6,5,3,4,2,2
"47",2,5,0,5,5,6,4,2,2,2
"48",1,3,6,5,6,9,3,3,2,2
"49",5,3,5,10,4,5,4,2,2,2
"50",2,4,5,7,7,4,3,4,3,2
"51",1,3,5,6,5,3,4,3,2,2
"52",1,3,8,8,10,5,3,3,2,2
"53",1,2,5,6,6,0,5,2,3,2
"54",2,2,5,9,6,5,5,2,2,2
"55",1,6,7,8,9,6,4,2,2,2
"56",2,0,6,5,9,6,3,2,2,2
"57",2,6,5,6,0,5,4,5,2,2
"58",2,2,4,0,5,5,3,2,2,2
"59",2,4,7,8,7,3,3,2,2,2
"60",2,4,5,6,3,3,4,4,2,2
"61",4,3,4,6,5,3,4,3,2,2
"62",2,5,5,5,9,2,3,4,2,2
"63",2,5,5,8,3,6,3,3,2,2
"64",3,4,7,7,5,3,4,2,2,2
"65",2,4,5,7,5,4,4,2,2,2
"66",1,5,5,12,5,6,4,3,2,2
"67",4,2,4,5,7,5,3,3,2,2
"68",2,4,9,5,0,7,2,2,2,2
"69",1,2,9,0,5,5,3,3,2,2
"70",2,0,6,6,8,6,3,2,2,2
"71",4,0,5,8,6,4,3,3,2,2
"72",4,7,3,5,5,5,4,2,2,2
"73",2,3,7,7,5,4,4,3,2,2
"74",1,5,5,8,5,4,3,3,2,2
"75",2,4,8,5,8,5,4,3,2,2
"76",3,5,5,0,4,4,3,2,2,2
"77",5,4,3,7,7,4,3,3,2,2
"78",0,2,5,7,6,4,2,3,3,2
"79",2,7,0,7,5,5,6,3,2,2
"80",3,4,6,4,4,4,4,3,2,2
"81",2,4,4,7,0,6,2,4,2,2
"82",1,4,6,7,6,3,3,2,2,2
"83",5,5,6,9,6,5,3,2,2,2
"84",3,2,5,6,4,5,4,2,2,2
"85",2,2,5,4,3,5,3,2,2,2
"86",3,4,7,5,6,4,3,4,2,2
"87",2,6,8,5,3,0,3,3,2,2
"88",3,5,5,8,5,6,3,4,2,2
"89",1,5,4,6,8,5,2,2,2,2
"90",2,3,6,5,8,4,4,3,2,2
"91",1,5,4,7,8,4,3,3,2,2
"92",3,5,5,7,8,6,3,2,2,2
"93",2,3,5,8,5,3,6,3,2,2
"94",1,4,4,0,6,8,2,2,2,2
"95",3,6,5,4,5,5,3,2,2,2
"96",2,3,7,5,5,3,3,2,2,2
"97",2,6,6,4,5,6,3,3,2,2
"98",1,8,7,7,4,3,4,2,2,2
"99",4,4,6,6,6,3,3,3,2,2
"100",3,5,9,5,5,4,4,4,2,2
